171137,Freitag,frei,Tag,1
161100,Sonntag,Sonne,Tag,1
96277,Fußball,Fuß,Ball,1
90240,Mitglied,mit,Glied,3
89108,Bundesregierung,Bund,Regierung,0
77185,Kilometer,kilo,Meter,1
75942,Ministerpräsident,Minister,Präsident,3
72814,Bundesliga,Bund,Liga,3
72461,Bundestag,Bund,Tag,2
69859,Hauptstadt,haupt,Stadt,1
67475,Wochenende,Woche,Ende,3
65883,Jahrhundert,Jahr,Hundert,0
49841,Hintergrund,hintere,Grund,3
48987,Nachrichtenagentur,Nachricht,Agentur,2
47346,Jahrzehnt,Jahr,Zehnt,2
46742,Flughafen,Flug,Hafen,2
46709,Anteil,an,Teil,3
44936,Krankenhaus,Kranke,Haus,2
44490,Bürgermeister,Bürger,Meister,3
43906,Außenminister,außen,Minister,1
43581,Wettbewerb,Wette|wetten,Bewerb,3
43520,Regierungschef,Regierung,Chef,2
42795,Arbeitsplatz,Arbeit,Platz,3
39431,Maßnahme,Maß,Nahme,3
35948,Bundesland,Bund,Land,2
35590,Sonnabend,Sonne,Abend,3
35358,Arbeitgeber,Arbeit,Geber,2
35314,Wahlkampf,Wahl,Kampf,2
35257,Vorjahr,vor,Jahr,0
34928,Weltmeister,Welt,Meister,0
34287,Geschäftsführer,Geschäft,Führer,2
33681,Zeitpunkt,Zeit,Punkt,2
33406,Volkswagen,Volk,Wagen,3
33377,Fahrzeug,fahren,Zeug,3
32671,Rücktritt,rück,Tritt,1
32403,Hochschule,hoch,Schule,0
31040,Nachmittag,nach,Mittag,1
30709,Nationalspieler,national,Spieler,0
30434,Bundeswehr,Bund,Wehr,2
30393,Finanzminister,Finanzen,Minister,0
30060,Flugzeug,Flug,Zeug,0
29845,Bundestrainer,Bund,Trainer,0
29318,Vorteil,vor,Teil,3
28991,Gastgeber,Gast,Geber,2
28599,Bundespräsident,Bund,Präsident,2
28370,Gegenteil,gegen,Teil,2
26931,Frühjahr,früh,Jahr,0
26734,Bundesrepublik,Bund,Republik,2
26733,Geburtstag,Geburt,Tag,0
26592,Standort,Stand,Ort,0
26578,Bundeskanzler,Bund,Kanzler,3
26353,Zentralbank,zentral,Bank,1
26131,Bahnhof,Bahn,Hof,2
26061,Innenminister,innen,Minister,1
25282,Grundlage,grund,Lage,3
25195,Gegensatz,gegen,Satz,3
25035,Spieltag,Spiel|spielen,Tag,0
24758,Vorbild,vor,Bild,3
24302,Arbeitnehmer,Arbeit,Nehmer,2
24258,Auftakt,auf,Takt,3
24232,Schriftsteller,Schrift,Steller,3
24058,Sozialdemokrat,sozial,Demokrat,3
23498,Weltkrieg,Welt,Krieg,0
23365,Halbfinale,halb,Finale,1
23199,Arbeitsmarkt,Arbeit,Markt,2
22758,Landgericht,Land,Gericht,1
22363,Tageszeitung,Tag,Zeitung,0
22288,Aufsichtsrat,Aufsicht,Rat,3
21980,Alltag,alle,Tag,1
21754,Bundesrat,Bund,Rat,2
21591,Nationalmannschaft,national,Mannschaft,2
21337,Schlagzeile,schlagen,Zeile,3
21124,Rückstand,rück,Stand,3
20871,Pressekonferenz,Presse,Konferenz,2
20796,Medienbericht,Medium,Bericht,0
20387,Bundestagswahl,Bundestag,Wahl,0
20118,Halbzeit,halb,Zeit,1
19938,Netzwerk,Netz,Werk,2
19870,Quadratmeter,Quadrat,Meter,2
19697,Schiedsrichter,Schied,Richter,0
19631,Parteitag,Partei,Tag,2
19478,Geheimdienst,geheim,Dienst,2
18926,Höhepunkt,Höhe,Punkt,3
18725,Außenpolitik,außen,Politik,1
18644,Viertelfinale,Viertel,Finale,3
18464,Menschenrecht,Mensch,Recht,1
18118,Bundesamt,Bund,Amt,0
18022,Landtag,Land,Tag,3
17970,Titelverteidiger,Titel,Verteidiger,0
17885,Zentimeter,zenti,Meter,1
17873,Amtszeit,Amt,Zeit,0
17764,Südafrika,Süd,Afrika,2
16925,Verteidigungsminister,Verteidigung,Minister,0
16882,Augenblick,Auge,Blick,3
16752,Umfeld,um,Feld,2
16486,Rathaus,Rat,Haus,3
16378,Parteichef,Partei,Chef,2
16154,Bundesverfassungsgericht,Bund,Verfassungsgericht,2
16059,Staatschef,Staat,Chef,2
16046,Autofahrer,Auto,Fahrer,0
15734,Bundesstaat,Bund,Staat,1
15644,Mittelpunkt,mittlere,Punkt,1
15626,Staatsanwalt,Staat,Anwalt,2
15591,Krankenkasse,Kranke,Kasse,2
15405,Weltwährungsfonds,Welt,Währungsfonds,3
15339,Stellungnahme,Stellung,Nahme,3
15095,Generalsekretär,general,Sekretär,3
15079,Hinweg,hin,Weg,0
15014,Großteil,groß,Teil,0
15004,Atmosphäre,atmo,Sphäre,3
14913,Premierminister,Premier,Minister,1
14830,Autobahn,Auto,Bahn,3
14817,Jahresende,Jahr,Ende,0
14536,Torhüter,Tor,Hüter,2
14535,Vorstandschef,Vorstand,Chef,2
14491,Feuerwehr,Feuer,Wehr,1
14470,Umwelt,um,Welt,2
14446,Ortszeit,Ort,Zeit,0
14433,Spielzeit,Spiel|spielen,Zeit,3
14297,Zeitraum,Zeit,Raum,2
14252,Freitagabend,Freitag,Abend,0
14202,Achtelfinale,Achtel,Finale,3
14200,Mittelfeldspieler,Mittelfeld,Spieler,1
14199,Landtagswahl,Landtag,Wahl,0
14057,Zeitschrift,Zeit,Schrift,1
14047,Mittwochabend,Mittwoch,Abend,0
13985,Abgeordnetenhaus,Abgeordnete,Haus,2
13886,Dienstagabend,Dienstag,Abend,0
